purchase_id,date,supplier_name,item_name,category,unit,quantity_purchased,unit_cost,total_cost,delivery_status,expected_delivery,payment_method,notes
P2014,2010-04-09,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 30, 5, 64","12.5, 1.2, 0.8, 0.1",296.4,Completed,,Bank Transfer,
P2015,2010-04-16,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 14, 7, 92","12.5, 1.2, 0.8, 0.1",206.6,Completed,,Bank Transfer,
P2016,2010-04-23,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","8, 32, 9, 78","12.5, 1.2, 0.8, 0.1",153.4,Completed,,Bank Transfer,
P2017,2010-04-30,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","6, 13, 9, 54","12.5, 1.2, 0.8, 0.1",103.2,Completed,,Bank Transfer,
P2018,2010-05-07,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","16, 27, 9, 56","12.5, 1.2, 0.8, 0.1",245.2,Completed,,Bank Transfer,
P2019,2010-05-14,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 22, 9, 59","12.5, 1.2, 0.8, 0.1",177.0,Completed,,Bank Transfer,
P2020,2010-05-21,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 24, 5, 79","12.5, 1.2, 0.8, 0.1",253.2,Completed,,Bank Transfer,
P2021,2010-05-28,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","13, 15, 5, 71","12.5, 1.2, 0.8, 0.1",191.6,Completed,,Bank Transfer,
P2022,2010-06-04,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 12, 9, 65","12.5, 1.2, 0.8, 0.1",178.1,Completed,,Bank Transfer,
P2023,2010-06-11,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 33, 6, 99","12.5, 1.2, 0.8, 0.1",266.8,Completed,,Bank Transfer,
P2024,2010-06-18,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","15, 40, 6, 75","12.5, 1.2, 0.8, 0.1",247.8,Completed,,Bank Transfer,
P2025,2010-06-25,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","5, 14, 6, 57","12.5, 1.2, 0.8, 0.1",89.8,Completed,,Bank Transfer,
P2026,2010-07-02,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 28, 10, 98","12.5, 1.2, 0.8, 0.1",276.4,Completed,,Bank Transfer,
P2027,2010-07-09,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","5, 27, 10, 82","12.5, 1.2, 0.8, 0.1",111.1,Completed,,Bank Transfer,
P2028,2010-07-16,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 21, 7, 82","12.5, 1.2, 0.8, 0.1",276.5,Completed,,Bank Transfer,
P2029,2010-07-23,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","5, 14, 9, 64","12.5, 1.2, 0.8, 0.1",92.9,Completed,,Bank Transfer,
P2030,2010-07-30,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 34, 7, 84","12.5, 1.2, 0.8, 0.1",192.3,Completed,,Bank Transfer,
P2031,2010-08-06,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 34, 9, 69","12.5, 1.2, 0.8, 0.1",204.9,Completed,,Bank Transfer,
P2032,2010-08-13,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 31, 9, 90","12.5, 1.2, 0.8, 0.1",190.9,Completed,,Bank Transfer,
P2033,2010-08-20,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 10, 8, 73","12.5, 1.2, 0.8, 0.1",113.2,Completed,,Bank Transfer,
P2034,2010-08-27,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 17, 7, 55","12.5, 1.2, 0.8, 0.1",269.0,Completed,,Bank Transfer,
P2035,2010-09-03,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 19, 7, 66","12.5, 1.2, 0.8, 0.1",285.0,Completed,,Bank Transfer,
P2036,2010-09-10,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 28, 6, 99","12.5, 1.2, 0.8, 0.1",260.8,Completed,,Bank Transfer,
P2037,2010-09-17,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","16, 13, 5, 60","12.5, 1.2, 0.8, 0.1",225.6,Completed,,Bank Transfer,
P2038,2010-09-24,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 19, 5, 98","12.5, 1.2, 0.8, 0.1",124.1,Completed,,Bank Transfer,
P2039,2010-10-01,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 14, 9, 65","12.5, 1.2, 0.8, 0.1",118.0,Completed,,Bank Transfer,
P2040,2010-10-08,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 12, 9, 71","12.5, 1.2, 0.8, 0.1",166.2,Completed,,Bank Transfer,
P2041,2010-10-15,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","16, 26, 10, 87","12.5, 1.2, 0.8, 0.1",247.9,Completed,,Bank Transfer,
P2042,2010-10-22,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 28, 9, 50","12.5, 1.2, 0.8, 0.1",295.8,Completed,,Bank Transfer,
P2043,2010-10-29,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 20, 9, 79","12.5, 1.2, 0.8, 0.1",189.1,Completed,,Bank Transfer,
P2044,2010-11-05,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","8, 25, 8, 55","12.5, 1.2, 0.8, 0.1",141.9,Completed,,Bank Transfer,
P2045,2010-11-12,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 32, 5, 62","12.5, 1.2, 0.8, 0.1",298.6,Completed,,Bank Transfer,
P2046,2010-11-19,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","6, 21, 8, 82","12.5, 1.2, 0.8, 0.1",114.8,Completed,,Bank Transfer,
P2047,2010-11-26,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 39, 5, 86","12.5, 1.2, 0.8, 0.1",296.9,Completed,,Bank Transfer,
P2048,2010-12-03,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 12, 6, 66","12.5, 1.2, 0.8, 0.1",200.8,Completed,,Bank Transfer,
P2049,2010-12-10,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 10, 7, 55","12.5, 1.2, 0.8, 0.1",235.6,Completed,,Bank Transfer,
P2050,2010-12-17,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 18, 9, 64","12.5, 1.2, 0.8, 0.1",247.7,Completed,,Bank Transfer,
P2051,2010-12-24,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","15, 16, 6, 78","12.5, 1.2, 0.8, 0.1",219.3,Completed,,Bank Transfer,
P2052,2010-12-31,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 27, 7, 57","12.5, 1.2, 0.8, 0.1",256.2,Completed,,Bank Transfer,
P2053,2011-01-07,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 34, 8, 79","12.5, 1.2, 0.8, 0.1",292.6,Completed,,Bank Transfer,
P2054,2011-01-14,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 37, 10, 77","12.5, 1.2, 0.8, 0.1",297.6,Completed,,Bank Transfer,
P2055,2011-01-21,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","6, 10, 8, 67","12.5, 1.2, 0.8, 0.1",100.1,Completed,,Bank Transfer,
P2056,2011-01-28,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 19, 7, 91","12.5, 1.2, 0.8, 0.1",187.5,Completed,,Bank Transfer,
P2057,2011-02-04,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 31, 10, 92","12.5, 1.2, 0.8, 0.1",291.9,Completed,,Bank Transfer,
P2058,2011-02-11,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 36, 5, 90","12.5, 1.2, 0.8, 0.1",206.2,Completed,,Bank Transfer,
P2059,2011-02-18,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 34, 6, 52","12.5, 1.2, 0.8, 0.1",300.8,Completed,,Bank Transfer,
P2060,2011-02-25,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 17, 6, 66","12.5, 1.2, 0.8, 0.1",181.8,Completed,,Bank Transfer,
P2061,2011-03-04,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 33, 10, 96","12.5, 1.2, 0.8, 0.1",282.2,Completed,,Bank Transfer,
P2062,2011-03-11,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 20, 8, 66","12.5, 1.2, 0.8, 0.1",274.5,Completed,,Bank Transfer,
P2063,2011-03-18,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","15, 13, 5, 69","12.5, 1.2, 0.8, 0.1",214.0,Completed,,Bank Transfer,
P2064,2011-03-25,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","13, 38, 9, 52","12.5, 1.2, 0.8, 0.1",220.5,Completed,,Bank Transfer,
P2065,2011-04-01,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 32, 8, 96","12.5, 1.2, 0.8, 0.1",229.4,Completed,,Bank Transfer,
P2066,2011-04-08,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 36, 5, 84","12.5, 1.2, 0.8, 0.1",193.1,Completed,,Bank Transfer,
P2067,2011-04-15,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 21, 8, 51","12.5, 1.2, 0.8, 0.1",124.2,Completed,,Bank Transfer,
P2068,2011-04-22,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","15, 37, 7, 60","12.5, 1.2, 0.8, 0.1",243.5,Completed,,Bank Transfer,
P2069,2011-04-29,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 11, 8, 88","12.5, 1.2, 0.8, 0.1",278.4,Completed,,Bank Transfer,
P2070,2011-05-06,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","16, 36, 9, 95","12.5, 1.2, 0.8, 0.1",259.9,Completed,,Bank Transfer,
P2071,2011-05-13,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 35, 8, 76","12.5, 1.2, 0.8, 0.1",231.0,Completed,,Bank Transfer,
P2072,2011-05-20,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","8, 13, 5, 53","12.5, 1.2, 0.8, 0.1",124.9,Completed,,Bank Transfer,
P2073,2011-05-27,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 40, 9, 80","12.5, 1.2, 0.8, 0.1",313.2,Completed,,Bank Transfer,
P2074,2011-06-03,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 19, 8, 73","12.5, 1.2, 0.8, 0.1",249.0,Completed,,Bank Transfer,
P2075,2011-06-10,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 31, 10, 72","12.5, 1.2, 0.8, 0.1",227.4,Completed,,Bank Transfer,
P2076,2011-06-17,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 20, 8, 59","12.5, 1.2, 0.8, 0.1",261.3,Completed,,Bank Transfer,
P2077,2011-06-24,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 14, 6, 74","12.5, 1.2, 0.8, 0.1",266.5,Completed,,Bank Transfer,
P2078,2011-07-01,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 19, 9, 71","12.5, 1.2, 0.8, 0.1",174.6,Completed,,Bank Transfer,
P2079,2011-07-08,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","13, 40, 10, 51","12.5, 1.2, 0.8, 0.1",223.6,Completed,,Bank Transfer,
P2080,2011-07-15,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","11, 28, 5, 88","12.5, 1.2, 0.8, 0.1",183.9,Completed,,Bank Transfer,
P2081,2011-07-22,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","13, 40, 10, 74","12.5, 1.2, 0.8, 0.1",225.9,Completed,,Bank Transfer,
P2082,2011-07-29,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","16, 33, 8, 50","12.5, 1.2, 0.8, 0.1",251.0,Completed,,Bank Transfer,
P2083,2011-08-05,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 22, 10, 87","12.5, 1.2, 0.8, 0.1",268.1,Completed,,Bank Transfer,
P2084,2011-08-12,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","10, 39, 10, 95","12.5, 1.2, 0.8, 0.1",189.3,Completed,,Bank Transfer,
P2085,2011-08-19,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 12, 6, 83","12.5, 1.2, 0.8, 0.1",252.5,Completed,,Bank Transfer,
P2086,2011-08-26,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","9, 39, 8, 100","12.5, 1.2, 0.8, 0.1",175.7,Completed,,Bank Transfer,
P2087,2011-09-02,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 11, 9, 99","12.5, 1.2, 0.8, 0.1",280.3,Completed,,Bank Transfer,
P2088,2011-09-09,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 38, 8, 79","12.5, 1.2, 0.8, 0.1",297.4,Completed,,Bank Transfer,
P2089,2011-09-16,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 29, 7, 79","12.5, 1.2, 0.8, 0.1",285.8,Completed,,Bank Transfer,
P2090,2011-09-23,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","6, 34, 10, 63","12.5, 1.2, 0.8, 0.1",130.1,Completed,,Bank Transfer,
P2091,2011-09-30,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 14, 8, 64","12.5, 1.2, 0.8, 0.1",254.6,Completed,,Bank Transfer,
P2092,2011-10-07,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","20, 24, 9, 61","12.5, 1.2, 0.8, 0.1",292.1,Completed,,Bank Transfer,
P2093,2011-10-14,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","19, 12, 10, 100","12.5, 1.2, 0.8, 0.1",269.9,Completed,,Bank Transfer,
P2094,2011-10-21,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 11, 8, 98","12.5, 1.2, 0.8, 0.1",116.9,Completed,,Bank Transfer,
P2095,2011-10-28,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 21, 5, 58","12.5, 1.2, 0.8, 0.1",185.0,Completed,,Bank Transfer,
P2096,2011-11-04,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 15, 6, 92","12.5, 1.2, 0.8, 0.1",257.0,Completed,,Bank Transfer,
P2097,2011-11-11,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","6, 23, 9, 91","12.5, 1.2, 0.8, 0.1",118.9,Completed,,Bank Transfer,
P2098,2011-11-18,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","10, 19, 6, 60","12.5, 1.2, 0.8, 0.1",158.6,Completed,,Bank Transfer,
P2099,2011-11-25,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 16, 10, 99","12.5, 1.2, 0.8, 0.1",187.1,Completed,,Bank Transfer,
P2100,2011-12-02,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 11, 6, 63","12.5, 1.2, 0.8, 0.1",174.3,Completed,,Bank Transfer,
P2101,2011-12-09,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 18, 7, 74","12.5, 1.2, 0.8, 0.1",184.6,Completed,,Bank Transfer,
P2102,2011-12-16,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","5, 35, 8, 95","12.5, 1.2, 0.8, 0.1",120.4,Completed,,Bank Transfer,
P2103,2011-12-23,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","5, 36, 8, 86","12.5, 1.2, 0.8, 0.1",120.7,Completed,,Bank Transfer,
P2104,2011-12-30,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","13, 32, 6, 93","12.5, 1.2, 0.8, 0.1",215.0,Completed,,Bank Transfer,
P2105,2012-01-06,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","5, 22, 9, 72","12.5, 1.2, 0.8, 0.1",103.3,Completed,,Bank Transfer,
P2106,2012-01-13,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","9, 16, 7, 78","12.5, 1.2, 0.8, 0.1",145.1,Completed,,Bank Transfer,
P2107,2012-01-20,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 20, 6, 88","12.5, 1.2, 0.8, 0.1",250.1,Completed,,Bank Transfer,
P2108,2012-01-27,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 12, 6, 82","12.5, 1.2, 0.8, 0.1",202.4,Completed,,Bank Transfer,
